,30.0,31.38787817378162,32.77575634756324,34.16363452134486,35.551512695126476,36.9393908689081,38.327269042689714,39.71514721647134,41.10302539025295,42.490903564034575,43.87878173781619,45.26665991159781,46.65453808537943,48.04241625916105,49.430294432942674,50.81817260672429,52.206050780505905,53.59392895428753,54.98180712806915,56.369685301850765,57.75756347563238,59.145441649414,60.533319823195626,61.92119799697724,63.309076170758864
0.5,99.4,99.4,99.34,99.18,99.04,99.04,99.04,98.82,98.78,98.48,98.52,98.72,98.76,98.32,98.38,98.32,98.3,98.38,98.26,98.0,97.7,97.94,97.96,97.38,97.38
0.5208125,99.58,99.26,99.18,99.26,99.38,99.2,99.06,99.02,98.82,98.8,98.66,98.74,98.52,98.38,98.26,98.16,98.18,98.18,97.78,97.9,97.72,97.6,98.02,97.46,97.56
0.541625,99.4,99.22,99.34,99.4,99.12,99.32,98.96,98.8,99.04,98.94,98.52,98.54,98.82,98.56,98.42,98.48,98.02,97.92,98.04,98.06,97.96,97.7,97.62,97.78,97.52
0.5624375,99.74,99.52,99.22,99.3,99.3,99.16,99.28,99.12,98.84,98.84,98.98,98.76,98.6,97.88,98.42,98.34,98.32,98.24,98.06,97.8,97.94,97.72,97.52,97.5,97.72
0.58325,99.44,99.26,99.08,99.32,99.3,99.16,99.12,99.08,98.96,98.84,98.62,98.94,98.88,98.66,98.44,98.34,98.4,98.42,97.86,97.76,97.88,98.02,97.46,97.7,97.6
0.6040625,99.34,99.36,99.36,99.28,99.18,99.18,99.14,98.7,98.92,98.98,98.5,98.82,98.78,98.32,98.56,98.32,97.98,98.3,98.28,98.08,97.5,97.92,97.96,97.66,97.34
0.6248750000000001,99.5,99.38,99.34,99.24,99.22,99.12,99.2,99.06,98.9,98.74,98.74,98.84,98.44,98.68,98.3,98.12,98.14,98.42,98.04,98.18,98.32,97.84,97.38,97.86,98.06
0.6456875,99.46,99.44,99.42,99.3,99.08,99.3,98.94,98.96,99.06,99.0,98.86,98.86,98.98,98.76,98.3,98.28,98.22,98.06,98.24,97.96,97.76,97.8,97.74,97.82,97.54
0.6665,99.44,99.26,99.32,99.26,99.14,99.46,99.0,99.06,99.04,98.9,98.82,98.96,98.66,98.34,98.3,98.68,98.38,98.14,98.06,98.1,97.7,98.18,97.82,97.74,97.82
0.6873125,99.7,99.52,99.28,99.34,99.16,99.36,99.14,99.06,99.08,98.8,98.94,99.02,98.6,98.32,98.62,98.0,97.92,97.88,97.96,98.16,97.92,97.84,97.6,97.64,97.74
0.708125,99.6,99.46,99.28,99.34,99.32,99.36,99.06,99.14,98.86,98.74,98.74,98.84,98.68,98.4,98.32,98.32,98.32,98.34,98.32,98.16,98.18,97.66,97.9,97.7,97.68
0.7289375,99.54,99.62,99.34,99.3,99.22,99.16,99.0,99.06,99.1,98.9,98.74,99.08,98.76,98.64,98.64,98.54,98.38,98.16,98.32,98.36,97.64,97.86,98.24,97.94,97.92
0.74975,99.64,99.38,99.5,99.26,99.24,99.28,98.92,99.04,99.08,98.74,98.44,98.68,98.48,98.74,98.4,98.52,98.38,98.32,98.08,97.96,98.18,97.88,97.92,97.78,97.8
0.7705625,99.58,99.32,99.42,99.4,99.24,99.12,98.96,99.06,99.04,99.0,98.82,98.98,98.62,99.0,98.36,98.58,98.38,98.4,98.38,98.18,97.94,98.34,97.84,97.72,97.7
0.7913749999999999,99.66,99.64,99.6,99.52,99.38,99.28,99.22,99.0,99.14,98.82,98.76,99.04,98.78,98.56,98.84,98.66,98.52,98.14,98.04,98.12,98.4,98.08,98.12,97.84,97.74
0.8121875000000001,99.54,99.54,99.64,99.2,99.24,99.22,99.32,99.12,99.04,98.88,98.78,98.76,99.06,98.74,98.56,98.6,98.4,98.42,98.08,98.52,98.28,97.8,97.82,97.76,97.8
0.833,99.52,99.42,99.4,99.32,99.2,99.2,99.22,99.14,99.14,99.12,98.96,98.94,98.58,98.76,98.72,98.18,98.24,98.24,98.38,98.26,98.18,97.84,97.9,98.02,97.58
0.8538125000000001,99.46,99.6,99.24,99.32,99.42,99.22,99.24,99.22,98.98,98.8,99.18,98.6,98.8,98.7,98.52,98.54,98.6,98.38,98.28,98.24,97.94,98.26,97.9,97.72,97.8
0.874625,99.5,99.4,99.4,99.26,99.32,99.1,99.2,99.2,99.2,98.7,99.02,98.7,98.7,98.48,98.78,98.7,98.4,98.26,98.52,97.98,97.94,98.38,97.98,97.9,97.46
0.8954375,99.52,99.42,99.42,99.4,99.1,99.32,99.2,99.1,98.74,99.1,99.02,98.82,98.74,98.8,98.8,98.72,98.58,98.38,98.0,98.3,98.1,97.72,97.74,97.82,98.02
0.91625,99.4,99.56,99.64,99.4,99.28,99.3,99.34,99.22,99.0,99.14,98.82,98.98,98.58,98.64,98.64,98.54,98.36,98.04,98.14,97.86,98.34,97.92,98.1,97.98,97.62
0.9370625,99.58,99.42,99.4,99.56,99.38,99.22,99.0,99.2,99.04,99.06,99.1,98.74,98.58,98.5,98.46,98.76,98.62,98.16,98.28,98.4,97.74,98.04,97.96,97.76,97.72
0.957875,99.52,99.56,99.46,99.2,99.26,99.16,99.16,99.38,98.88,99.02,98.96,98.86,98.58,98.42,98.64,98.32,98.58,98.54,98.06,98.1,98.22,98.0,97.96,97.36,97.84
0.9786875,99.64,99.58,99.54,99.3,99.24,99.36,99.06,99.12,98.8,99.02,98.86,98.74,98.82,98.7,98.62,98.32,98.7,98.5,98.72,98.28,98.4,98.14,98.06,97.88,97.9
0.9995,99.48,99.42,99.38,99.22,99.56,98.92,99.26,99.24,98.9,99.2,99.1,98.74,98.56,98.58,98.5,98.44,98.42,98.2,98.4,98.08,98.02,98.06,98.16,97.78,97.84
